PC1,PC2,PC3,PC4,PC5,label
1.6999296,1.4017179,1.5972899,1.1214056,-0.20181148,Unhealthy
-3.4936864,0.48621503,-0.2778799,-0.3567518,0.42647475,Unhealthy
-3.6481564,0.44468343,0.5980563,-1.1338404,-0.20688683,Unhealthy
-4.344368,0.0052362536,0.16599225,-0.87922496,0.14996219,Unhealthy
4.097782,1.0321994,-0.27177358,0.76241356,-0.4788379,Unhealthy
2.3240526,0.60558087,1.4404129,-0.004118573,-0.3208484,Unhealthy
-4.5357585,-1.338174,-0.85836154,3.6638103,-0.8403175,Unhealthy
-2.7485423,0.20074491,0.3511898,-1.3595021,0.20193826,Unhealthy
-3.5824516,-0.43020052,0.4793897,-0.3211207,0.4899009,Unhealthy
-0.40425348,-0.48378247,0.054658893,-0.7064197,-0.7723292,Unhealthy
-1.7766916,-0.14584677,-0.5691581,-0.9284496,-0.11983416,Unhealthy
-2.9223557,-0.013989807,-0.49236512,0.17616741,-0.07405052,Unhealthy
-1.8237206,0.6474097,0.6924108,-0.75602454,0.73061484,Unhealthy
-0.78819937,-0.17385875,1.9036154,-0.4544386,0.6649998,Unhealthy
-4.732784,-0.4617494,-1.1663568,-0.015740592,0.5987145,Unhealthy
-3.1801856,0.10145771,0.06282621,-0.17203255,0.47654507,Unhealthy
-4.6787267,0.22717434,-1.1702305,-0.9307796,-0.10695938,Unhealthy
-2.3961155,-0.23233606,-0.43757027,-0.5204238,-0.021280188,Unhealthy
-1.3975004,0.6577915,-0.2530594,-1.008093,-0.046618756,Unhealthy
0.9592658,1.0609764,-0.38426644,0.5063944,-0.82791066,Unhealthy
-1.2619436,-0.16517977,0.587094,0.0589687,0.755808,Unhealthy
1.4571042,-0.49446428,-0.6182014,0.5170666,-1.0851374,Unhealthy
0.92665905,0.20666404,1.3465433,0.83434993,0.39852455,Unhealthy
1.936018,0.042642765,0.6229957,0.07854516,-0.2705251,Unhealthy
-4.218606,-0.5723947,-0.19272095,0.14786412,1.130235,Unhealthy
-4.533445,-1.1667264,-0.94890684,2.841543,-0.81936675,Unhealthy
-3.9599683,-0.40665603,-0.45555025,-0.42975459,1.086298,Unhealthy
-1.7996464,0.63182503,0.6839911,-0.74305147,0.7830384,Unhealthy
-3.3001926,0.64221424,0.4894815,-1.3560876,0.21973878,Unhealthy
-3.4081123,0.08672887,-0.91706276,-0.96810067,-0.035418738,Unhealthy
-4.3982987,-0.6237551,0.09822756,0.69634444,0.30046874,Unhealthy
-0.7743826,0.21518694,0.5070229,0.10296375,-1.1853117,Unhealthy
1.616008,-2.333035,-0.31403255,0.45785797,-0.4844726,Unhealthy
-5.7099214,-0.1246074,-0.8257463,-0.47068274,0.070806675,Unhealthy
-4.6800675,0.19711095,-1.1855904,-0.9293827,-0.21131772,Unhealthy
-1.5723943,0.88288647,0.05556706,-0.039027397,-1.124736,Unhealthy
-0.8151603,0.4863332,0.9117629,-0.9844872,1.886259,Unhealthy
-5.280712,0.4699798,-0.9088538,-1.1749176,-0.51417375,Unhealthy
-3.1377492,-0.994821,0.18474372,1.5820822,1.1770282,Unhealthy
-3.0114622,0.63041836,0.3047198,-0.14039086,-0.2151259,Unhealthy
-2.1454992,-0.35271278,1.5392199,-0.8770794,0.084943615,Unhealthy
-1.889567,0.6084936,0.6988261,-0.6647294,0.82433015,Unhealthy
-0.8370904,1.1175927,0.023531675,0.032136235,-0.90759623,Unhealthy
-4.7286205,-1.3260242,-0.9645561,3.1405337,-0.8615995,Unhealthy
-2.4362292,-0.7545002,0.23333174,0.78148997,1.2375174,Unhealthy
-3.5319533,-0.11781873,-0.8003127,-0.94225323,-0.19148104,Unhealthy
-3.3980892,-0.23056814,-0.5333793,-0.6207426,0.70693994,Unhealthy
-2.1516213,0.058928043,0.33869043,-0.109159924,-0.48852932,Unhealthy
-5.246224,0.35299417,-1.4432542,-0.7110255,0.28063485,Unhealthy
0.68879235,0.7032157,0.76159596,-0.16123244,-0.871872,Unhealthy
-2.862494,0.18668695,0.09126305,-0.35240126,0.5853138,Unhealthy
-2.729975,0.67673033,0.08542087,-0.5493797,0.08980577,Unhealthy
-0.54461133,-0.17741756,-1.5951315,1.6014524,-1.0725585,Unhealthy
-3.423699,-0.12140963,-0.8846912,0.49763677,-0.46133202,Unhealthy
-0.85276806,-0.28562337,2.1130188,-0.08508099,0.4374423,Unhealthy
-0.37554947,-2.37276,0.10572697,1.4224373,-0.21359313,Unhealthy
-4.97335,-0.19078639,-1.0463747,0.26694384,0.30376866,Unhealthy
1.1338937,0.8971348,0.85038984,-0.6103029,0.8350184,Unhealthy
-8.715795,1.4301716,-5.0195055,-4.2385554,0.31166783,Unhealthy
-4.989509,-0.71346027,-0.46007752,1.2504839,0.39028576,Unhealthy
-4.7172976,0.02375088,-0.24682924,-0.25993654,-0.0911427,Unhealthy
-4.4551105,0.16639285,-1.679918,-0.91945326,-0.39501658,Unhealthy
-1.7068442,0.70239264,0.68441015,-0.7718828,0.7374044,Unhealthy
-3.4413571,-0.24029885,0.006877509,-0.44159606,0.688166,Unhealthy
0.6770202,1.4884933,0.44290102,-1.151926,-0.5566228,Unhealthy
-4.135548,-0.41967747,-0.62047243,0.27318537,0.7548319,Unhealthy
-1.3509042,-0.2546454,-0.32274166,-0.6428583,-0.58977145,Unhealthy
-4.2454624,-0.117914334,-0.64712983,-0.2167906,0.16161434,Unhealthy
0.41462168,-2.175138,-0.6177998,1.6971961,-0.0016829843,Unhealthy
-4.5356026,-0.16071813,-0.6518405,0.43562993,-0.21945089,Unhealthy
-3.5826988,0.59722626,-1.2847879,-1.2438793,-0.16560672,Unhealthy
-1.6926565,-0.023696909,0.60270524,-0.19354671,-0.59556246,Unhealthy
-5.3458695,-0.5302023,-0.6791579,1.4815791,-0.5034421,Unhealthy
-2.4368062,-0.96016806,0.45685178,0.7758968,1.9949324,Unhealthy
-3.678243,0.5210886,-1.3327292,-0.84732217,-0.3269829,Unhealthy
-3.7606971,-0.35336697,0.21587993,-0.31122383,0.5872859,Unhealthy
